song_id,artist,title,release_year,migracion_hits,migracion_score,narco_hits,narco_score,politica_mx_hits,politica_mx_score,politica_us_hits,politica_us_score,dominant_topic
11835725,Los Tigres del Norte,Mi Primer Adiós,,0,0.0,0,0.0,0,0.0,0,0.0,none
1290972,Los Tigres del Norte,"Mira, mira, mira",,1,4.2553,0,0.0,0,0.0,0,0.0,migracion
1349385,Los Tigres del Norte,Mi soldado,,3,12.6582,0,0.0,2,8.4388,0,0.0,migracion
1129590,Los Tigres del Norte,Montones de buena suerte,,1,7.1429,1,7.1429,0,0.0,0,0.0,migracion
1165932,Los Tigres del Norte,Morenita de ojos negros,,0,0.0,0,0.0,0,0.0,0,0.0,none
1493508,Los Tigres del Norte,Morir matando,,0,0.0,3,17.7515,0,0.0,0,0.0,narco
1462862,Los Tigres del Norte,Mucho he sufrido,,0,0.0,0,0.0,0,0.0,0,0.0,none
1483440,Los Tigres del Norte,Muerte anunciada,,1,6.1728,3,18.5185,0,0.0,0,0.0,narco
1648558,Los Tigres del Norte,Mujeres manejando,,0,0.0,1,5.988,0,0.0,0,0.0,narco
1421644,Los Tigres del Norte,My promise / Mi promesa,,0,0.0,0,0.0,0,0.0,0,0.0,none
1394440,Los Tigres del Norte,Nadie me quiere,,0,0.0,0,0.0,0,0.0,0,0.0,none
1211837,Los Tigres del Norte,Navaja libre,,0,0.0,0,0.0,0,0.0,0,0.0,none
1979918,Los Tigres del Norte,Necesitamos conversar,,0,0.0,1,4.3103,0,0.0,0,0.0,narco
1198729,Los Tigres del Norte,Necesito mi libertad,,0,0.0,0,0.0,0,0.0,0,0.0,none
1959469,Los Tigres del Norte,Ni aqui ni all,,1,9.2593,0,0.0,0,0.0,0,0.0,migracion
1678851,Los Tigres del Norte,Ni Aqui Ni Alla,,1,9.2593,0,0.0,0,0.0,0,0.0,migracion
1219733,Los Tigres del Norte,Ni Parientes Somos,,0,0.0,0,0.0,0,0.0,0,0.0,none
1566600,Los Tigres del Norte,No Diet,,0,0.0,0,0.0,0,0.0,0,0.0,none
1370753,Los Tigres del Norte,No llores por él,,1,6.2112,0,0.0,0,0.0,0,0.0,migracion
2229333,Los Tigres del Norte,Nomás Cuando Estoy Sin Ti,,0,0.0,0,0.0,0,0.0,0,0.0,none
1332739,Los Tigres del Norte,No me amenaces,,0,0.0,0,0.0,0,0.0,0,0.0,none
1132273,Los Tigres del Norte,No me ganarás,,0,0.0,1,6.1728,0,0.0,0,0.0,narco
1092308,Los Tigres del Norte,No me quedaré,,0,0.0,0,0.0,0,0.0,0,0.0,none
943792,Los Tigres del Norte,No merezco tus lágrimas,,0,0.0,0,0.0,0,0.0,0,0.0,none
1634703,Los Tigres del Norte,No puedo más,,1,4.878,0,0.0,0,0.0,0,0.0,migracion
1180690,Los Tigres del Norte,Norma Corona,,0,0.0,1,6.0241,0,0.0,0,0.0,narco
1706698,Los Tigres del Norte,Nos estorbó la ropa,,0,0.0,0,0.0,0,0.0,0,0.0,none
956778,Los Tigres del Norte,No Sufras Madre,,0,0.0,0,0.0,0,0.0,0,0.0,none
1064033,Los Tigres del Norte,No tiene la culpa el indio,,2,9.5694,5,23.9234,0,0.0,0,0.0,narco
1760240,Los Tigres del Norte,No volveré,,0,0.0,0,0.0,0,0.0,0,0.0,none
1150765,Los Tigres del Norte,Nueva cita,,0,0.0,1,9.901,0,0.0,0,0.0,narco
1950449,Los Tigres del Norte,Ojalá,,0,0.0,0,0.0,0,0.0,0,0.0,none
1506023,Los Tigres del Norte,Ojos negros nunca engañan,,0,0.0,0,0.0,0,0.0,0,0.0,none
861708,Los Tigres del Norte,Orgullo mexicano,,5,31.6456,0,0.0,0,0.0,0,0.0,migracion
885988,Los Tigres del Norte,Padre nuestro,,0,0.0,1,5.7471,0,0.0,0,0.0,narco
1457457,Los Tigres del Norte,Padres tristes,,1,5.618,0,0.0,0,0.0,0,0.0,migracion
1079107,Los Tigres del Norte,Pájaro en mano,,0,0.0,0,0.0,0,0.0,0,0.0,none
1713731,Los Tigres del Norte,Palabras de mi madre,,0,0.0,0,0.0,0,0.0,0,0.0,none
1046639,Los Tigres del Norte,Para siempre,,0,0.0,0,0.0,0,0.0,0,0.0,none
1041339,Los Tigres del Norte,Paso a paso,,2,16.3934,0,0.0,0,0.0,0,0.0,migracion
1605467,Los Tigres del Norte,Perdiendo el tiempo,,2,14.1844,1,7.0922,0,0.0,0,0.0,migracion
1163376,Los Tigres del Norte,Perdonen mi canto,,1,5.2083,3,15.625,1,5.2083,0,0.0,narco
1853026,Los Tigres del Norte,Perdon Pero No,,0,0.0,0,0.0,0,0.0,0,0.0,none
927993,Los Tigres del Norte,Plato de segunda mesa,,0,0.0,0,0.0,0,0.0,0,0.0,none
1467234,Los Tigres del Norte,Playa Blanca,,0,0.0,0,0.0,0,0.0,0,0.0,none
1365575,Los Tigres del Norte,Plaza Garibaldi,,0,0.0,0,0.0,1,6.0606,0,0.0,politica_mx
1722398,Los Tigres del Norte,Pobreza fatal,,0,0.0,0,0.0,0,0.0,0,0.0,none
1563286,Los Tigres del Norte,Popurrí: Allá en el rancho grande / La Valentina,,0,0.0,0,0.0,0,0.0,0,0.0,none
2121627,Los Tigres del Norte,Popurri mexicano,,5,19.305,1,3.861,0,0.0,0,0.0,migracion
1084289,Los Tigres del Norte,Por alguien,,2,13.0719,0,0.0,0,0.0,0,0.0,migracion
910414,Los Tigres del Norte,Por debajo del agua,,2,12.7389,4,25.4777,0,0.0,2,12.7389,narco
1438432,Los Tigres del Norte,Por el amor de una mujer,,0,0.0,1,5.1813,0,0.0,0,0.0,narco
1478751,Los Tigres del Norte,Por lo menos hoy,,2,9.009,2,9.009,0,0.0,0,0.0,migracion
985013,Los Tigres del Norte,Por ser sinaloense,,3,17.0455,2,11.3636,0,0.0,0,0.0,migracion
1114704,Los Tigres del Norte,Por una mujer casada,,0,0.0,0,0.0,0,0.0,0,0.0,none
969870,Los Tigres del Norte,Prieta casada,,0,0.0,0,0.0,0,0.0,0,0.0,none
1088211,Los Tigres del Norte,Pueblo Querido,,3,14.8515,0,0.0,0,0.0,0,0.0,migracion
1387251,Los Tigres del Norte,"Puede que sí, puede que no",,0,0.0,0,0.0,0,0.0,0,0.0,none
1808622,Los Tigres del Norte,Qué ganarías,,0,0.0,0,0.0,0,0.0,0,0.0,none
1144070,Los Tigres del Norte,Que nunca se entere,,0,0.0,0,0.0,0,0.0,0,0.0,none
974532,Los Tigres del Norte,Qué te hizo olvidarme,,0,0.0,0,0.0,0,0.0,0,0.0,none
951511,Los Tigres del Norte,Qué te parece,,1,3.2258,0,0.0,0,0.0,0,0.0,migracion
1087643,Los Tigres del Norte,Qué te parece (karaoke),,0,0.0,1,5.988,0,0.0,0,0.0,narco
1829528,Los Tigres del Norte,Que Voy Hacer Sin Ti,,0,0.0,1,13.5135,0,0.0,0,0.0,narco
1526908,Los Tigres del Norte,Quién,,0,0.0,1,5.5249,0,0.0,0,0.0,narco
862125,Los Tigres del Norte,Quién te entiende,,0,0.0,0,0.0,0,0.0,0,0.0,none
1413152,Los Tigres del Norte,Quién te quiere como yo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1115966,Los Tigres del Norte,Quiero volar contigo,,1,7.1942,0,0.0,0,0.0,0,0.0,migracion
1501067,Los Tigres del Norte,Quisiera,,0,0.0,0,0.0,0,0.0,0,0.0,none
1170622,Los Tigres del Norte,Ramiro Sierra,,0,0.0,5,27.7778,0,0.0,0,0.0,narco
1215511,Los Tigres del Norte,Recuerdos que duelen,,0,0.0,0,0.0,0,0.0,0,0.0,none
1267574,Los Tigres del Norte,Regalo caro,,0,0.0,6,35.0877,0,0.0,0,0.0,narco
938043,Los Tigres del Norte,Reina de reinas,,0,0.0,1,5.4645,0,0.0,0,0.0,narco
1060613,Los Tigres del Norte,Reloj maldito,,6,43.4783,0,0.0,0,0.0,0,0.0,migracion
